000001-24.03.2024 22:48:46-INIT 
000002-24.03.2024 22:48:46-INFO 010101
000003-24.03.2024 22:48:46-STRT A:
000004-24.03.2024 22:48:46-INFO A:020202
000005-24.03.2024 22:48:46-STRT A:B:
000006-24.03.2024 22:48:46-INFO A:B:030303
000007-24.03.2024 22:48:46-STOP A:
000008-24.03.2024 22:48:46-INFO A:040404
000009-24.03.2024 22:48:46-INFO A:050505
000010-24.03.2024 22:48:46-STRT A:C:
000011-24.03.2024 22:48:46-INFO A:C:060606
000012-24.03.2024 22:48:46-STRT A:C:D:
000013-24.03.2024 22:48:46-INFO A:C:D:070707
000014-24.03.2024 22:48:46-INFO A:C:D:080808
000015-24.03.2024 22:48:46-STOP A:C:
000016-24.03.2024 22:48:46-INFO A:C:090909
000017-24.03.2024 22:48:46-INFO A:C:101010
000018-24.03.2024 22:48:46-INFO A:C:111111
000019-24.03.2024 22:48:46-STOP A:
000020-24.03.2024 22:48:46-INFO A:121212
000021-24.03.2024 22:48:46-STRT A:E:
000022-24.03.2024 22:48:46-STRT A:E:F:
000023-24.03.2024 22:48:46-STOP A:E:
000024-24.03.2024 22:48:46-STOP A:
